ensembl_gene_id,hgnc_symbol,source,team,study,input_data,details
ENSG00000109576,AADAT,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000064687,ABCA7,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000141338,ABCA8,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000108798,ABI3,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000108798,ABI3,TREAT-AD,IUSM-Purdue,"GSE5281, GSE48350, GSE33000, GSE44772, ROSMAP, MSBB, Mayo, ABA",RNA,
ENSG00000163995,ABLIM2,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000159640,ACE,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000159640,ACE,AMP-AD,Emory,"Banner, ROSMAP","Genetics, Protein",
ENSG00000159640,ACE,AMP-AD,Emory,"https://doi.org/10.1038/s41588-018-0311-9, https://doi.org/10.1038/s41588-019-0358-2","Genetics, Protein",
ENSG00000100412,ACO2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000184227,ACOT1,AMP-AD,Emory,"https://doi.org/10.1038/s41588-018-0311-9, https://doi.org/10.1038/s41588-019-0358-2","Genetics, Protein",
ENSG00000162390,ACOT11,AMP-AD,MSSM - Roussos Lab,FreshMicro,RNA,
ENSG00000151726,ACSL1,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000072110,ACTN1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000077522,ACTN2,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000137845,ADAM10,AMP-AD,Emory,"https://doi.org/10.1038/s41588-018-0311-9, https://doi.org/10.1038/s41588-019-0358-2","Genetics, Protein",
ENSG00000168615,ADAM9,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000154734,ADAMTS1,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000140470,ADAMTS17,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000158859,ADAMTS4,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000158859,ADAMTS4,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000148700,ADD3,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000135744,AGT,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000168710,AHCYL1,AMP-AD,Duke,,"Metabolomics, Genetics, RNA, Protein, Phenomics",
ENSG00000124942,AHNAK,AMP-AD,MSSM - Zhang Lab,MSBB,"Genetics, Protein",
ENSG00000156709,AIFM1,AMP-AD,Columbia-Rush,ROSMAP,"Protein, Clinical",
ENSG00000106992,AK1,AMP-AD,Emory,"ACT, BLSA, Banner",Protein,
ENSG00000162433,AK4,AMP-AD,Columbia-Rush,ROSMAP,"Genetics, RNA, Protein, Clinical",
ENSG00000122787,AKR1D1,AMP-AD,ASU,ROSMAP,"Genetics, RNA, Protein",
ENSG00000142208,AKT1,AMP-AD,Duke,ADNI,"Genetics, Metabolomics",
ENSG00000170017,ALCAM,AMP-AD,MSSM - Roussos Lab,HBI_scRNAseq,RNA,
ENSG00000128918,ALDH1A2,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000159423,ALDH4A1,AMP-AD,ASU,VirusResilience,RNA,
ENSG00000171094,ALK,AMP-AD,Mayo-UFL-ISB,Mayo,RNA,
ENSG00000151150,ANK3,AMP-AD,MSSM - Zhang Lab,MSBB,Protein,
ENSG00000145700,ANKRD31,AMP-AD,ASU,VirusResilience,RNA,
