source,target,feature_mode,top_n_genes,arm,auroc,auprc,balanced_accuracy,brier
GSE63060,GSE63061,var,200,target_only,0.6244047619047618,0.6581479824543628,0.5845238095238096,0.3233202580085005
GSE63060,GSE63061,var,200,source_only,0.5684523809523809,0.6515687197631376,0.49583333333333335,0.38198894978273745
GSE63060,GSE63061,var,200,source_plus_target_raw,0.7130952380952381,0.7877609546353803,0.6345238095238095,0.23531582899500314
GSE63060,GSE63061,var,200,source_plus_target_combat,0.7172619047619048,0.7887038166643496,0.5964285714285715,0.25303374915632554
GSE63060,GSE63061,var,200,source_plus_target,0.7172619047619048,0.7887038166643496,0.5964285714285715,0.25303374915632554
GSE63060,GSE63061,var,200,null_label_permutation_avg100,0.5017857142857143,0.5615866529771486,0.48630952380952386,0.2512528047525353
GSE63060,GSE63061,var,200,null_label_permutation,0.5017857142857143,0.5615866529771486,0.48630952380952386,0.2512528047525353
GSE63061,GSE63060,var,200,target_only,0.8636363636363636,0.8980208488117771,0.749633431085044,0.17737357521649832
GSE63061,GSE63060,var,200,source_only,0.7998533724340176,0.8617054239153981,0.6821847507331378,0.24873824780372117
GSE63061,GSE63060,var,200,source_plus_target_raw,0.8291788856304986,0.8799913714087872,0.7316715542521994,0.20081342150781512
GSE63061,GSE63060,var,200,source_plus_target_combat,0.8152492668621701,0.8718467625708544,0.718475073313783,0.21410124487892554
GSE63061,GSE63060,var,200,source_plus_target,0.8152492668621701,0.8718467625708544,0.718475073313783,0.21410124487892554
GSE63061,GSE63060,var,200,null_label_permutation_avg100,0.48826979472140764,0.5963560571207288,0.5190615835777126,0.24678346382311656
GSE63061,GSE63060,var,200,null_label_permutation,0.48826979472140764,0.5963560571207288,0.5190615835777126,0.24678346382311656
GSE63060,GSE63061,var,1000,target_only,0.6910714285714287,0.6998234471756158,0.6089285714285715,0.29214396539667753
GSE63060,GSE63061,var,1000,source_only,0.738095238095238,0.8021617788805582,0.593452380952381,0.2940366418553128
GSE63060,GSE63061,var,1000,source_plus_target_raw,0.7523809523809524,0.8166608138442153,0.6696428571428572,0.24783681772038754
GSE63060,GSE63061,var,1000,source_plus_target_combat,0.7261904761904763,0.7945757328888983,0.5946428571428571,0.2982903609716918
GSE63060,GSE63061,var,1000,source_plus_target,0.7261904761904763,0.7945757328888983,0.5946428571428571,0.2982903609716918
GSE63060,GSE63061,var,1000,null_label_permutation_avg100,0.46726190476190477,0.4991667678775017,0.4845238095238095,0.25296919980981125
GSE63060,GSE63061,var,1000,null_label_permutation,0.46726190476190477,0.4991667678775017,0.4845238095238095,0.25296919980981125
GSE63061,GSE63060,var,1000,target_only,0.9120234604105572,0.934545115653306,0.8273460410557185,0.1289231446769082
GSE63061,GSE63060,var,1000,source_only,0.8027859237536656,0.8373757723806279,0.7554985337243402,0.22513999453902167
GSE63061,GSE63060,var,1000,source_plus_target_raw,0.8900293255131965,0.9236099748207942,0.8093841642228738,0.14923336963021192
GSE63061,GSE63060,var,1000,source_plus_target_combat,0.905425219941349,0.9296341494564564,0.8141495601173021,0.12809177185202075
GSE63061,GSE63060,var,1000,source_plus_target,0.905425219941349,0.9296341494564564,0.8141495601173021,0.12809177185202075
GSE63061,GSE63060,var,1000,null_label_permutation_avg100,0.5139296187683284,0.6298638556930262,0.4659090909090909,0.24564616311652704
GSE63061,GSE63060,var,1000,null_label_permutation,0.5139296187683284,0.6298638556930262,0.4659090909090909,0.24564616311652704
